Participant.Public.ID,Trial.Number,Reaction.Time,Response,Correct,Incorrect,Label,Model,P_Group,P_Orginal,ACC_Mat
59ea15472f63d30001c8fef2,15,9302,right,1,0,Me,m38,User,NEIN,0.921875
59ea15472f63d30001c8fef2,16,9704,left,1,0,Stranger,f4,User,NEIN,0.921875
59ea15472f63d30001c8fef2,17,10070,right,1,0,Me,f27,User,NEIN,0.921875
59ea15472f63d30001c8fef2,18,8984,right,1,0,Stranger,f15,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,19,4616,right,1,0,Me,f4,User,NEIN,0.921875
59ea15472f63d30001c8fef2,20,9970,right,0,1,Stranger,m33,User,NEIN,0.921875
59ea15472f63d30001c8fef2,21,3426,left,0,1,Me,m33,User,JA,0.921875
59ea15472f63d30001c8fef2,22,4244,left,1,0,Me,f18,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,23,3342,left,1,0,Me,f15,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,24,8492,left,1,0,Stranger,m38,User,NEIN,0.921875
59ea15472f63d30001c8fef2,25,2748,left,1,0,Stranger,f27,User,JA,0.921875
59ea15472f63d30001c8fef2,26,7770,right,1,0,Stranger,f15,Other,JA,0.921875
59ea15472f63d30001c8fef2,27,9122,left,1,0,Stranger,f27,User,JA,0.921875
59ea15472f63d30001c8fef2,28,7450,left,1,0,Stranger,m38,User,NEIN,0.921875
59ea15472f63d30001c8fef2,29,5600,right,1,0,Me,f4,User,NEIN,0.921875
59ea15472f63d30001c8fef2,30,8474,left,1,0,Stranger,f27,User,NEIN,0.921875
59ea15472f63d30001c8fef2,31,7120,left,1,0,Me,f18,Other,JA,0.921875
59ea15472f63d30001c8fef2,32,8490,left,0,1,Stranger,m34,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,33,2508,right,0,1,Me,m34,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,34,9424,right,1,0,Me,f27,User,NEIN,0.921875
59ea15472f63d30001c8fef2,35,3080,left,1,0,Me,f18,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,36,4884,left,1,0,Stranger,m33,User,JA,0.921875
59ea15472f63d30001c8fef2,37,4964,right,1,0,Stranger,f18,Other,NEIN,0.921875
59ea15472f63d30001c8fef2,38,2980,left,1,0,Stranger,f4,User,JA,0.921875
59ea15472f63d30001c8fef2,39,1664,right,1,0,Me,f4,User,JA,0.921875
59ea15472f63d30001c8fef2,40,2656,right,1,0,Me,m33,User,JA,0.921875
59ea15472f63d30001c8fef2,41,4746,right,1,0,Stranger,f18,Other,JA,0.921875
59ea15472f63d30001c8fef2,42,5950,right,1,0,Stranger,m34,Other,JA,0.921875
