"Subject","P1Age","P2Age","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
1,24,21,2,77,"Team","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",567.085267,0.567085267,1
1,24,21,2,78,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",516.942411,0.516942411,1
1,24,21,2,79,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",583.541094,0.583541094,0
1,24,21,2,80,"StrangerTeam","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",683.72416,0.68372416,1
1,24,21,3,1,"Stranger","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",616.932818,0.616932818,1
1,24,21,3,2,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","z",733.632114,0.733632114,1
1,24,21,3,3,"StrangerTeam","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",650.223473,0.650223473,1
1,24,21,3,4,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","z",666.900385,0.666900385,1
1,24,21,3,5,"Person2","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",666.99632,0.66699632,1
1,24,21,3,6,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",583.581758,0.583581758,0
1,24,21,3,7,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","z",517.611193,0.517611193,1
1,24,21,3,8,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",650.222684,0.650222684,1
1,24,21,3,9,"Person1","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","num_3",718.360276,0.718360276,1
1,24,21,3,10,"Person2","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",867.011875,0.867011875,1
1,24,21,3,11,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",533.590502,0.533590502,1
1,24,21,3,12,"Team","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",766.865919,0.766865919,1
1,24,21,3,13,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",550.237804,0.550237804,1
1,24,21,3,14,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",583.601498,0.583601498,1
1,24,21,3,15,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","z",550.261097,0.550261097,1
1,24,21,3,16,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","z",566.891818,0.566891818,1
1,24,21,3,17,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","z",600.35263,0.60035263,1
1,24,21,3,18,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","z",667.059487,0.667059487,1
1,24,21,3,19,"Person2","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",766.927507,0.766927507,1
1,24,21,3,20,"StrangerTeam","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",666.911044,0.666911044,1
1,24,21,3,21,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",483.823885,0.483823885,1
1,24,21,3,22,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",500.382753,0.500382753,1
1,24,21,3,23,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",667.08357,0.66708357,0
1,24,21,3,24,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","z",500.36933,0.50036933,1
1,24,21,3,25,"Team","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",633.619204,0.633619204,1
1,24,21,3,26,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",567.005124,0.567005124,1
1,24,21,3,27,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","num_3",517.045847,0.517045847,0
1,24,21,3,28,"Person1","Team","Nonmatching",NA,"Team","Group-Self","Self","Top","num_3",1316.934357,1.316934357,1
1,24,21,3,29,"Stranger","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","z",516.930567,0.516930567,0
1,24,21,3,30,"Team","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",715.044002,0.715044002,0
1,24,21,3,31,"Person2","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",700.286187,0.700286187,1
1,24,21,3,32,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","num_3",700.412521,0.700412521,0
1,24,21,3,33,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","z",550.21846,0.55021846,1
1,24,21,3,34,"StrangerTeam","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Top","z",533.657618,0.533657618,0
1,24,21,3,35,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",567.093953,0.567093953,0
1,24,21,3,36,"Person1","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",766.932245,0.766932245,1
