Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
P2,5,4,29,1,m,1.322822578,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,6,0,30,3,n,3.88954824,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,6,1,31,0,c,1.329890196,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,6,2,32,1,m,1.3046707,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,6,3,33,2,b,4.864147533,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,6,4,34,1,m,2.343184518,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,7,0,35,0,c,2.613202888,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,7,1,36,2,b,2.392300158,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,7,2,37,3,n,2.356385669,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,7,3,38,1,m,1.954033244,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,7,4,39,3,n,2.23940716,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,8,0,40,2,b,2.353502087,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,8,1,41,1,m,2.383023663,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,8,2,42,4,v,3.211194329,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,8,3,43,3,n,2.726717861,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,8,4,44,2,b,4.309664065,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,9,0,45,4,v,2.999132636,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Other,9,1,46,4,v,1.802586775,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
Stranger,9,2,47,2,b,1.902087715,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P1,9,3,48,0,c,2.109670856,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
We,9,4,49,3,n,2.325092254,c,m,b,n,v,CIRCLE,DIAMOND,STAR,TRIANGLE,1,12,24,21
P2,0,0,0,1,m,18.61642876,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
P2,0,1,1,1,m,6.122148347,n,m,c,b,v,STAR,PENTAGON,CIRCLE,DIAMOND,1,13,26,24
