"","Subject","Gender","Age","Handedness","First_Lanugage","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"177",9605,"female",25,"right","Hebrew",2,177,"square.bmp","Self","Nonmatching","Self","Father","Father","Close","m",1044,1.044,1
"178",9605,"female",25,"right","Hebrew",2,178,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",1190,1.19,1
"179",9605,"female",25,"right","Hebrew",2,179,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",746,0.746,1
"180",9605,"female",25,"right","Hebrew",2,180,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",942,0.942,1
"181",9605,"female",25,"right","Hebrew",2,181,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1188,1.188,1
"182",9605,"female",25,"right","Hebrew",2,182,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1112,1.112,1
"183",9605,"female",25,"right","Hebrew",2,183,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",871,0.871,1
"184",9605,"female",25,"right","Hebrew",2,184,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",1080,1.08,1
"185",9605,"female",25,"right","Hebrew",2,185,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","z",904,0.904,0
"186",9605,"female",25,"right","Hebrew",2,186,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",944,0.944,1
"187",9605,"female",25,"right","Hebrew",2,187,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",966,0.966,1
"188",9605,"female",25,"right","Hebrew",2,188,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",962,0.962,1
"189",9605,"female",25,"right","Hebrew",2,189,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1143,1.143,1
"190",9605,"female",25,"right","Hebrew",2,190,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",2101,2.101,1
"191",9605,"female",25,"right","Hebrew",2,191,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",884,0.884,1
"192",9605,"female",25,"right","Hebrew",2,192,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",869,0.869,1
"193",9605,"female",25,"right","Hebrew",2,193,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",2037,2.037,1
"194",9605,"female",25,"right","Hebrew",2,194,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1575,1.575,1
"195",9605,"female",25,"right","Hebrew",2,195,"square.bmp","Father","Matching","Father","Father","Father","Close","z",1092,1.092,1
"196",9605,"female",25,"right","Hebrew",2,196,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1619,1.619,1
"197",9605,"female",25,"right","Hebrew",2,197,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",1430,1.43,1
"198",9605,"female",25,"right","Hebrew",2,198,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",1000,1,1
"199",9605,"female",25,"right","Hebrew",2,199,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",772,0.772,1
"200",9605,"female",25,"right","Hebrew",2,200,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1008,1.008,1
