"","Subject","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"195",2,4,15,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",616,0.616,1
"196",2,4,16,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",658,0.658,1
"197",2,4,17,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","m",716,0.716,0
"198",2,4,18,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",918,0.918,1
"199",2,4,19,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",736,0.736,1
"200",2,4,20,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",954,0.954,1
"201",2,4,21,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",1188,1.188,1
"202",2,4,22,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",751,0.751,1
"203",2,4,23,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",825,0.825,1
"204",2,4,24,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",611,0.611,1
"205",2,4,25,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",604,0.604,1
"206",2,4,26,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",886,0.886,1
"207",2,4,27,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",832,0.832,1
"208",2,4,28,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",1018,1.018,1
"209",2,4,29,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",820,0.82,1
"210",2,4,30,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",863,0.863,1
"211",2,4,31,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",665,0.665,1
"212",2,4,32,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",723,0.723,1
"213",2,4,33,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",781,0.781,1
"214",2,4,34,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",839,0.839,1
"215",2,4,35,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",625,0.625,1
"216",2,4,36,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",874,0.874,1
